_id,search_text,title,link,description,comp_name,email,keywords,founded_year,revenue,funding,No_of_employees,headquarters,telephone_number,contact_person,address,type_or_sector
5eb62e2a134cc6fb9536e93d,https://www.2and2.com.au/about/what-we-do,2and2,https://www.2and2.com.au/,We create beautiful games and apps that help people learn new things  change behaviours and live healthier lives.,2 and 2,info@2and2.com.au,"['behaviour change games', 'custom learning games', 'online game', 'educational games awards', 'social games', 'educational games', 'game design', 'mentored game design students', 'mainstream games awards', 'educational mobile games']",['2007'],['None'],None,['11-50'],"[' Chippendale, New South Wales, Australia']",['+61 1300 883 974'],"['Leon Young', 'CEO', ['leon.young@2and2.com.au', 'leon@2and2.com.au', 'leon@leonyoung.com', 'leon.young@change2.com.au', 'leon@cogniss.com']]","['5 Blackfriars St, Chippendale NSW 2008, Australia']","['Communities', 'Education']"
5eb630147afe26eca4ba7bfa,https://www.answersportals.com/,Answers Portals - A One stop shop for assignment and ...,https://www.answersportals.com/,Answers Portals provides one of the best level service to clients in making there assignments and projects.,Answers Portals,answersportals@gmail.com,"['students assignments', 'management accounting assignment help', 'best assignment help', 'sql assignment help', 'electrochemistry homework assignments', 'college students', 'full assignment help', 'expert business management assignment', 'management assignment problems', 'chemical engineering game theory college assignment tutors']","['Feb 25, 2015']",['None'],None,['None'],"[' Sydney, New South Wales, Australia']",['None'],"['C T CORPORATION SYSTEM', ' agent_active', None]",['None'],"['Association', 'Education']"
5eb6311c86662885174692de,https://arludo.com/,Arludo,https://arludo.com/,We help teachers engage students in their learning. Our library of apps and worksheets quickly turn your students into a class of collaborating scientists.,arludo,['None'],None,"['Jul 1, 2015']",['None'],None,['2-10'],"[' Sydney, New South Wales, Australia']",['None'],"['Michael Kasumovic', 'founder', ['michael@arludo.com']]",['None'],['EdTech']
5eb631f1fac479799dedd1f8,www.assignmenthelpservices.com/,Assignment Help Services,https://www.assignmenthelpservices.com/,Assignment Help Services. Our Platform Connects You With Numerous Online Assignment Help Experts Instantly!! Most of students struggle with doing proper ...,Assignment Help Services,support@assignmenthelpservices.com,"['assignment writing help', 'engineering assignment help', 'academic assignment writing', 'finance assignment help', 'nursing assignment help', 'best assignment', 'academic assignments', 'biology assignment help', 'civil engineering assignment help', 'various assignments']","['Feb 4, 2014']",['$2M'],$0,['101-250'],"[' Perth, Western Australia, Australia']",['730-407-305'],"['Online Assignment Help ', 'Manager_www ...', None]",['None'],"['Consulting', 'Continuing Education']"
5eb6331597c8f5512179c4f1,https://getatomi.com/,Atomi | Learning made easy,https://getatomi.com/,An online teaching and learning platform for students  teachers and schools.,Atomi,['support@getatomi.com'],"['school time', '’s time', 'student learning', 'atomi content', 'study time', 'atomi any questions', 'atomi lessons', 'video atomi', 'more students', 'student personal information']",['2013'],['None'],None,['51-200'],"[' Ultimo, New South Wales, Australia']",['+61 3 9133 5100'],"[""Rob Barakat, Thomas O'Donahoo"", 'founder(s)', ['rob@getatomi.com', 'rob@getatomi.com.au']]","['25/15 Ricketts Rd, Mount Waverley VIC 3149, Australia']","['E-Learning', 'EdTech']"
5eb634492802acb8c48e02aa,www.schoolappsolution.com.au,School App Solution: Parent Communication & Engagement,https://www.schoolappsolution.com.au/,We place no School App Solution branding in the app. Push NotificationsInstant Communication. Small messages sent instantly to mobile phones running your ...,School App Solution,contact@schoolappsolution.com.au,"['school app pricing locations app', 'schools', 'school year', 'school record', 'affordable school app', 'contact school app solution', 'specific notification groups', 'contact school app solution on affordable school app', 'newsletters home page slideshow other links easy', 'dec school website service calendar']",['2015'],['$4.4M'],$0,['62'],"[' Sydney, New South Wales, Australia']",['1(800)547-077'],"['Vikash Jangid -', 'CEO', None]",['None'],"['EdTech', 'Internet']"
5eb63539be65b70e5af0c7a9,www.australianassignmentshelp.com/,Australian Assignment Help - Best Assignment Writing Service,https://www.australianassignmentshelp.com/,At Australian Assignments Help  All Your Academic Needs Are Covered Under One Roof! The major issue that many Australian students face is to find a legitimate ...,Australian assignments help,australianassignmenthelp1@gmail.com,"['assignment writing paper', 'writing assignments', 'best college assignment writing paper', 'best cheap assignment writing help', 'cheap assignment writing services', 'assignment paper', 'best assignment', 'assignment help australia', 'best assignment help', 'best quality assignments']","['Feb 1, 2015']",['$326.2M'],$0,['51-100'],['None'],['None'],"['Elizabeth Mailey ', 'Content Writer_Self', None]",['None'],['Education']
5eb6363894bd0b097f9c2734,australianhelp.com/,Australian Help: Assignment & Essay Writing Services by ...,https://australianhelp.com/,Professional academic writing service for every kind of assignment. Team of our writers is covering any subject  difficulty level and due date. Get 18% OFF!,Australian Help,support@australianhelp.com,"['custom written papers', 'writing professional academic writing service', 'assignment writing services', 'other aussie writing services', 'book report writing service', 'writing help', 'good service', 'writing services', 'good papers', 'case study writing tasks']","['Sep 15, 2008']",['None'],None,['2-10'],"[' Sydney, New South Wales, Australia']",['239093 4.44'],['None'],['None'],"['E-Commerce', 'Education']"
5eb6378b772150870b5c8d27,www.beautycoursesonline.com/,Beauty Courses Online - Complete your beauty course at ...,https://www.beautycoursesonline.com/,Oct 21  2019 - Beauty Courses Online offers a Thirty Day Money Back Guarantee if you believe that these courses are not right for you….Simply contact me ...,Beauty Courses Online,support@fragrancesandcosmetics.com.au,"['online beauty courses', 'other beauty training courses', 'professional beauty courses', 'online nail courses', 'many other beauty courses', 'online nail training courses', 'beauty course', 'other accredited beauty courses', 'online courses', 'online training courses']",['2004'],['$256.3M'],$14K,['1-10'],"[' Melbourne, Victoria, Australia']",['+61 3 9499 9202'],"['Aurelian Lis', 'CEO', None]","['71b Silverdale Rd, Eaglemont VIC 3084, Australia']","['Beauty', 'Cosmetics']"
5eb639ee2c60aae411d1ae8b,brainpump.net/,Brain Pump - Learn something new,http://brainpump.net/,Learn something new and feed your curiosity with Brain Pump. Learn from a vast library of entertaining videos on topics ranging from Chemistry  Physics and ...,Brain Pump,hello@brainpump.net,"['crash course world history', 'crash course biology #', 'crash course biology', 'world history', 'crash course psychology', 'crash course', '#', 'crash course astronomy', 'psychology #', 'earth lived history']","['Sep 1, 2014']",['$43.9M'],$0,['157'],"[' Sydney, New South Wales, Australia']",['None'],"['PANLERT PRAPATSORN', 'Managing Director', None]",['None'],"['Education', 'Software']"
5eb63aff81de1c4846fd91ab,www.careercake.com/,Careercake | Watch Awesome Careers Content Anytime ...,https://www.careercake.com/,Watch awesome careers content created to help you take on  rise to and beat the challenges you'll actually face at work. Subscribe today for on demand access.,Careercake,['hello@careercake.com'],"['other people', 'new people', 'great people', 'careers videos', 'people managers', 'careercake content', 'career development content', 'many people', 'careercake videos', 'different people']",['2010'],['None'],None,['2-10'],"[' Cardiff, New South Wales, Australia']",['303 123 1113'],"['Aimee Bateman', 'CEO', ['aimee@careercake.com']]",['None'],"['E-Learning', 'Education']"
5eb63c1e9c69232f6ed6edd8,centralinnovation.com.au/,Central Innovation,https://centralinnovation.com.au/,CAD Software. Central Innovation sources  build and advises on world-class design process solutions to the manufacturing and construction industries.,Central Innovation Pty Ltd.,sharp.task@centralinnovation.com.au,None,['1990'],['$20M'],$0,['51-100'],"[' Pymble, New South Wales, Australia']",['+61 1300 423 372'],"['Max Piper', 'CEO', ['max.piper@centralinnovation.com', 'mpiper@centralinnovation.com', 'max.piper@centralinnovation.com.au']]","['Suite 63, Building 6/195 Wellington Rd, Clayton VIC 3168, Australia']","['Information Services', 'Information Technology']"
5eb63d1b9d2ec0b892c42dd5,www.c-learning.com.au/,C-Learning - Home,https://www.c-learning.net/,Drop into the #virtualstaffroom. Every weekday  from midday  educators drop into the open virtual staffroom to connect  share and listen to how others are ...,C-Learning Pty,info@c-learning.com.au,"['google suite', 'google technology', 'google apps data', 'google classroom g suite', 'google apps', 'google', 'google services', 'leading google technologies', 'google premier education', 'leading google solutions']",['2002'],['$12.9M'],$0,['11-50'],"[' Hawthorn, Victoria, Australia']",['+44 1225 863218'],"['Phillip Tutty', 'CEO', None]",['None'],['Education']
5eb63e1ee805d1cff3d80a25,www.complierenterprise.com/,complierenterprise.com - This website is for sale ...,http://www.complierenterprise.com/,This website is for sale! complierenterprise.com is your first and best source for all of the information you're looking for. From general topics to more of what you ...,Complier Enterprise,info@complierenterprise.com,None,"['Dec 30, 2015']",['None'],None,['None'],"[' Kiama, New South Wales, Australia']",['None'],"['Brian Whiteside, Wayne Rochat', 'founder(s)', None]",['None'],"['Enterprise Software', 'Information Technology']"
5eb63ee743b668cb27ef8137,www.compnow.com.au,CompNow - Innovative IT Services & Solutions,https://www.compnow.com.au/,With over 25 years experience in the technology industry  we work with clients & partners to provide tailored services & innovative solutions. Learn more.,CompNow,['lana.greig@compnow.com.au'],"['new technology solutions', 'compnow compnow', 'improved technology solutions', 'technology solutions', 'compnow professional services teams', 'service solution', 'tailored managed service solutions', 'device management services', 'innovative technology solutions', 'tailored technology solutions']",['1991'],['$12M'],$6.5M,['201-500'],"[' Notting Hill, Victoria, Australia']",['+61 3 9684 3600'],"['Daniel Hutchinson', 'CEO', None]","['352 Ferntree Gully Rd, Notting Hill VIC 3168, Australia']",['Information Technology']
5eb640560732058562a400b3,www.convincely.com,Convincely™ - Experience The World's Best Plug-In Sales ...,https://convincely.com/,A complete end-to-end sales funnel for enterprises that's proven to lower customer acquisition costs. Turn visitors into customers by winning their trust with ...,Convincely,support@convincely.com,"['customer experience', 'sales optimization data', 'better customer experiences', 'best practice customer experiences', 'online customer experience', 'data platform', 'clunky customer experiences', 'most conversion rate optimization platforms', 'marketing teams', 'marketing platforms']","['Oct 20, 2018']",['None'],None,['11-50'],"[' Melbourne, Victoria, Australia']",['+61 1300 781 861'],"['Pratik Doshi', 'CEO', ['pratik@convincely.com', 'pratik@convincely.com.au']]","['11/484 St Kilda Rd, Melbourne VIC 3004, Australia']","['Analytics', 'Artificial Intelligence']"
