company,introduction,end_market,industry,link,link_corrected
360 Engineering,Water and waste water electrical and engineering services,Water management,"Services - professional, scientific, and technical",http://360engineering.com.au/about-us/,http://360engineering.com.au/
Ace Avetmiss,Software to vocational education,RTO,IT - Software,http://aceavetmiss.com.au/about-us/,http://aceavetmiss.com.au/about-us/
Complex Injury Group,injury and pain treatment facility,Healthcare,Healthcare,http://complexinjurygroup.com.au/,http://adelaidechronicpainclinic.com.au/
Australian Dairy Farmers Co-Operative,"Independent dairy co-operative, owned and run by dairy farmers",Dairy farming,Agriculture,www.adfc.org.au,http://adfc.org.au/
Aero Defence,Supplies and procures avionic equpment,Defence,Retail trade,http://aerodefence.com.au/home,http://aerodefence.com.au/
Aerosafe Risk Management,"Consulting, training and risk services and support solutions",Corporate risk,"Services - professional, scientific, and technical",http://www.aerosafe.com.au/home.php,http://aerosafe.com.au/
Afkos Industries,Hydraulic engineering solutions to different industries,Hydraulics,Manufacturing,http://afkos.com.au/,http://afkos.com.au/
Akva Surgical,AKVA Surgical provides sales and marketing services to the Australian orthopaedic industry.,Hospital and surgical,Healthcare,http://akvasurgical.com/about/,http://akvasurgical.com/about/
AMC Convergent IT,Retail management software solutions,Retail,IT - Software,www.amcretail.com,http://amcretail.com/
ANGAD Australian Institute of Technology,Offers training courses and certifications in a range of disciplines,Education,Education,http://angad.vic.edu.au/,http://angad.vic.edu.au/
Arvio,Energy storage and energy management solutions,Energy efficiency,IT - Hardware,http://arvio.com.au/,http://arvio.com.au/
Aurora Bioscience,Medical device distribution,Medical devices,Healthcare,http://aurorabioscience.com.au/about-us/,http://aurorabioscience.com.au/about-us/
Belmont Specialist Center,Day surgery / hospital conversion,Hospital,Healthcare,,http://belmontmed.co.nz/
BioStart,Manufacturer of microbial activators and fermentation extracts for agricultural and horticultural products,Agriculture,Manufacturing,http://biostart.co.nz,http://biostart.co.nz/
BlanchAir,Aerial agricultural services,Pest control,"Services - professional, scientific, and technical",http://blanchair.com.au/,http://blanchair.com.au/
Block Strata,Strata management software,Strata management,IT - Software,http://blockstrata.com.au/online-services/,http://blockstrata.com.au/online-services/
BOOKMARC Limited,Platform for builders / architects,Web network,Construction,Www.bookmarc.com.au,http://bookmarc.io/
Castlegate James,Manufacturer of stockfeed products and services to livestock industry,Agriculture,Manufacturing,https://www.castlegatejames.com.au/,http://castlegatejames.com.au/
Certification Body Australia,Product compliance and inspection services,Electrical,"Services - professional, scientific, and technical",http://certificationbody.com.au/,http://certificationbody.com.au/
Chronic Pain Australia,chronic pain management centre,Healthcare,Healthcare,http://chronicpainaustralia.org.au/index.php,http://chronicpainaustralia.org.au/index.php
Commercial Linen Services,Commercial laundry services,Hospitality,Services - accommodation and food,http://clservice.com.au/,http://clservice.com.au/
Consolidated Linen Service,Linen and garment rental and laundry services,Laundry,Services - accommodation and food,http://clservice.com.au/,http://clservice.com.au/
Complete Wiring,"Supplier and manufacturer of high quality custom designed cables, cable assemblies, cable harnesses & wiring systems",Defence,Manufacturing,http://completewiring.com.au/services/,http://completewiring.com.au/services/
Cortrols,Building automation and energy management systems solutions,Energy efficiency,IT - Software,http://cortrols.com.au/,http://cortrols.com.au/
Cottons,Female hygiene products,Hygiene,Real estate,http://cottons.com.au/,http://cottons.com.au/
CVW Engineering,Provider of precision engineering equipment,Defence,Manufacturing,http://cvwengineering.com.au/,http://cvwengineering.com.au/
Dunn Aviation Australia,Aerial agricultural services,Pest control,"Services - professional, scientific, and technical",http://dunnav.tripod.com/home.htm,http://dunnav.tripod.com/suppvehicles.htm
ECH Site,Earth moving wear parts manufacture,"Construction, Quarrying, Contact Mining, Demolition, Waste & Recycling and Agriculture",Manufacturing,http://ech.com.au/,http://ech.com.au/
