link,title,description,rake_results,textrank_results,kpe_results,wordcloud_results,IsPrivateEquity
https://www.meshedgroup.com.au/,Meshed Group | Comprehensive Education Management ...,Meshed Group solutions are suited to any sized education providers or enterprises. Customisable  cloud-based  affordable and are continually evolving to meet the challenges of the Education Industry in Australia. Educational Enterprise Management Systems and Student Management Systems,"['water ecoscience victoria', 'keen mountain biker', 'https :// www', 'https :// docs', 'https :// acpet', 'http :// www', 'extracted large amounts', 'chief tech guru', 'anything else happens', '184 bourke road']","['meshed group', 'meshed group client data', 'meshed group rtomanager platform', 'meshed group softwares', 'meshed group online learning solutions', 'meshed group applications', 'meshed group board', 'meshed solutions', 'meshed group platforms', 'meshed group clients']","['educ institut', 'mesh solut', 'student transfer', 'archiv', 'agent', 'standard', 'higher', 'enterpris solut', 'enrol', 'manag commun']","['enterprise_management_system', 'high_education_provider', 'student_management_system', 'access_real_time', 'online_class_enrolment', 'education_management_system', 'education_provider_high', 'innovative_enterprise_management', 'meshed_platform_popular', 'process_management_system']",False
https://powerprorto.com.au/,PowerPro RTO - Training Management System | Student ...,Compliant with Australian VET Standards ... PowerPro RTO complies with the different State and Territory funding program requirements (e.g. User Choice  ... CONTACT; P: (08) 9511 1040; support@powerprorto.com.au; Vidatek PO Box 266,"['unlimited computers owned', 'ultra hazardous activities', 'track parchment documents', 'text files placed', 'rev victory asked', 'relevant regulatory body', 'extremely competitive prices', 'create derivative works', '24 july 2019', '12 months ago']","['personal information', 'o’regan personal information software license agreement terms', 'such information', 'information', 'sensitive information', 'health information', 'biometric information', 'powerpro rto management system', 'wontulp powerpro rto', 'powerpro rto systems']","['powerpro lite rto record', 'oper system', 'design life', 'wayn robert', 'davena', 'download trial', 'nola', 'win32 platform', 'train manag system', 'client']","['information_third_party', 'information_personal_information', 'information_sensitive_information', 'personal_information_third', 'server_application_software', 'trade_secret_material', 'use_personal_information', 'access_license_customer', 'access_license_fee', 'access_user_license']",False
https://skillsbook.com.au/aboutus,About - Skillsbook,Online Courses Australia use Skillsbook® to offer RPL to their students. They use our unique course builder to set up courses and build a range of assessments ...,"['skilled ict worker', 'qualification packaging rules', 'operation since 1992', 'nvr clauses 1', 'handheld devices alike', 'following policy discusses', 'easily built using', 'comparing position descriptions', 'answer quiz question', '13 – 1']","['design training courses', 'course assessments', 'training organisations', 'many training organisations', 'registered training organisations', 'training currency', 'skills development', 'manage training', 'competency assessments', 'training providers']","['skill assess', 'cours', 'train', 'skillsbook', 'onlin onlin resum builder', 'case studi profession skill recognit', 'rpl', 'individu skill', 'vocat currenc employ', 'undertak self']","['bank_account_skill', 'design_national_packaging', 'many_training_organisation', 'national_packaging_rule', 'professional_development_skillsbook', 'recognition_prior_learning', 'account_skill_life', 'assessment_software_many', 'association_training_organisation', 'compliant_national_standard']",False
https://www.axcelerate.com.au/,aXcelerate,Make AVETMISS reporting and compliance easier  and manage every aspect of your training organisation— students  courses  assessments  scheduling  and more.,"['”— captain teague', 'uiuc physics professor', 'subcontractors expressly disclaim', 'stiff upper lip', 'steve davis discusses', 'slay bad habits', 'professor beverley oliver', 'po box 1351', 'oogie boogie man', 'obnoxiously screech mr']","['t axcelerate axcelerate', 'axcelerate vet student loans', 'axcelerate training', 'online assessments axcelerate', 'new axcelerate features', 'student assessment software', 'axcelerate’s fees', 'personal information axcelerate', 'home student assessments', 'student management systems']","['axceler', 'rto', 'student', 'train busi', 'onlin learn', 'short cours train', 'system', 'vet sector', 'onlin assess platform', 'time']","['student_management_system', 'customer_success_manager', 'vocational_education_training', 'statement_work_document', 'custom_development_work', 'new_learner_portal', 'intellectual_property_right', 'personal_sensitive_information', 'credit_card_payment', 'invoice_due_date']",False
https://vastosoftware.com.au/,Vasto Educator: RTO Management Software with integrated ...,Vasto Educator is world-class RTO Management software with an integrated Learning Management System (LMS)  suitable for all Registered Training Organisations. Request a free demonstration.,"['westpac banking corporation', 'utility bill showing', 'undertake periodic penetration', 'thereby increasing throughput', 'professional investigators college', 'prioritise potential threats', 'negative impact upon', 'cause major disruption', 'cash flow healthy', '18 grosvenor street']","['can vasto', 'vasto lms', 'historical student data', 'integrated vasto lms', 'vasto vouchers', 'vasto pricing', 'vasto software', 'vasto custom reports', 'students', 'vasto widgets']","['student', 'learn manag system', 'vasto', 'technic support', 'websit', 'trainer', 'document', 'starter packag', 'inform', 'data']","['border_block_display_border_block', 'display_border_block_display', 'display_style_block', 'minute_executive_overview', 'vasto_migration_wizard', 'active_faq_display', 'cash_healthy_online', 'course_offline_pc', 'dashboard_displaying_report', 'datum_migration_wizard']",False
https://ebecas.com.au/,eBECAS – College Administration Software,eBECAS provides for the update of CoE and Visa details to assist with monitoring of Visa refusal and Genuine Temporary Entrance. SMS_lexsurf ...,"['socially diverse environment', 'released september 11', 'released november 26', 'released mar 13', 'released july 14', 'released february 26', 'released feb 11', '2019 mar 16', '2012 january 02', '2012 apr 04']","['student offer details', 'student courses', 'student details', 'student fees', 'student offers', 'student vet class', 'student bookmarks', 'student avetmiss details', 'student address details', 'student contact details']","['may', 'ebeca', 'juli', 'june', 'student portal', 'decemb', 'februari', 'octob', 'avetmiss checklist', 'document repositori']","['utility_setup_configuration', 'main_utility_setup', 'course_start_date', 'student_agent_homestay', 'language_class_search', 'agent_homestay_provider', 'start_date_course', 'student_detail_screen', 'tuition_agent_fee', 'class_language_class']",False
https://ammonite.com.au/,Ammonite,Learning Management System. The Australian cloud-based LMS. All of your training needs in one package. Get Started ...,"['‘ overkill ’.', 'prevent fraudulent manipulation', 'occasional lunchtime workout', 'n &# 105', 'mm &# 111', 'j &# 105', 'holy grail pilgrimage', 'early december 2017', 'drivers licence checked', 'c &# 111']","['online training', 'student assessments', 'online training systems', 'online assessments', 'traditional online assessment tools', 'effective online assessments', 'online courses', 'online assessment instruments', 'video assessment technology', 'ammonite pty ltd']","['inform', 'control', 'cours', 'unit', 'assess solut', 'search monitor', 'indic', 'resourc map', 'success', 'tim harri cooki']","['white_card_course', 'delivery_white_card', 'confidence_online_training', 'online_delivery_white', 'risk_control_measure', 'user_group_meeting', 'video_response_assessment', 'language_literacy_numeracy', 'response_assessment_tool', 'use_statutory_declaration']",False
https://www.classe365.com/about-classe365/,Classe365 Student Management Software Platform | Student ...,At Classe365  we have built student and learning management software platform ... Level 13 135 King Street   Sydney  New South Wales  NSW 2000 Australia ...,"['zero star rating', 'six figure earnings', 'http :// yourtenant', 'http :// www', 'http :// docs', 'hornsby nsw 2077', 'auto bmi calculations', 'https :// youraccount', 'https :// www', 'https :// console']","['student data', 'upload student data', 'powerful student data', 'archive student data', 'teachers students', 'other students', 'student management', 'student information system software', 'new students', 'more students']","['classe365', 'student', 'educ institut', 'educ', 'student manag system demo', 'modul', 'languag school', 'cooki polici', 'enrol', 'lm']","['student_information_system', 'child_personal_datum', 'school_college_university', 'school_management_software', 'non_personal_datum', 'parent_legal_guardian', 'processing_personal_datum', 'personal_datum_classe', 'datum_protection_law', 'student_parent_teacher']",False
https://www.ish.com.au/about/,About us - ish onCourse,Since the year 2000  ish have been providing student management software solutions to Australian and overseas colleges of all shapes and sizes  including ...,"['temporary residency permit', 'rock solid reliability', 'postcard sized teasers', 'part_time trainingplandeveloped portallink', 'j spencer shortlist', '09 feb 2012', '19 mar 2010', '19 jun 2012', '19 aug 2013', 'disability card holders']",[],"['class sydney', 'student', 'enrol', 'oncours', 'cours', 'outcom', 'discount', 'vet certif', 'payment', 'voucher printtitl']","['datum_collection_rule', 'first_name_name', 'invoice_credit_note', 'left_hand_column', 'special_single_option', 'credit_card_payment', 'online_enrolment_process', 'start_end_date', 'statement_attainment_qualification', 'vet_fee_help']",False
http://aceavetmiss.com.au/,Ace Avetmiss – Ace your Avetmiss reporting,Feb 17  2020 — Skip to content. 0403 786 240|support@aceavetmiss.com.au ... Why Choose Us. Fast  Powerful ... requirements. CEO  Skills Institute Australia ...,"['unique student identifier', 'temporarily unavailable due', 'staff easily trained', 'refreshingly clean design', 'punitive damages caused', 'programming language agnostic', 'fullest extent permitted', 'advanced integration options', '3rd party applications', 'training activity starting']","['consume ace avetmiss data', 'consume ace avetmiss', '13.72.249.222 ace avetmiss', 'ace avetmiss online tool', 'ace avetmiss server', 'avetmiss data', 'ace avetmiss connect', 'pricing ace avetmiss', 'contact us ace avetmiss', 'nat files ace avetmiss connect payment']","['us ace avetmiss', 'avetmiss resourc', 'busi system', 'compliant data file', 'provid', 'tool guid', 'rto', 'web', 'tool avail', 'refund polici term']","['national_vet_provider', 'advanced_integration_option', 'automatic_data_communication', 'compliant_data_file', 'data_communication_server', 'data_file_file', 'file_file_national', 'file_national_vet', 'integration_option_automatic', 'option_automatic_data']",False
