title,link,description,comp_name,address,email,telephone_number,keywords,contact_person,type_or_sector,founded_year,revenue,funding,headquarters,No_of_employees,company_status,address_confidence,tp_confidence,headquarters_confidence,contact_confidence,Total_confidence
farmsoft fresh produce inventory & traceability for fruit ...,https://www.farmsoft.com/,Reduce waste  improve traceability.  Fresh produce inventory - Orders - Quality - Packing - Sales - Shipping - Recall & audit - RFID  for medium to large fresh produce & food manufacturers import/export and fruit & vegetable wholesalers salad loose leaf chili.,farmsoft,None,"['tony@hivexchange.com.au', 'https://www.crunchbase.com/organization/hivexchange']","['+64 21 963 363', 'https://www.farmsoft.com/traceability/fresh-produce-bar-code-scanning']",None,"['Antonio Palanca', 'founder(s)', 'https://www.crunchbase.com/organization/hivexchange']","[['AgTechB2BDigital MarketingE-CommerceE-Commerce PlatformsMarketplace'], 'https://www.crunchbase.com/organization/hivexchange']","['Sep 30, 2015', 'https://www.crunchbase.com/organization/hivexchange']",None,None,"[' Sydney, New South Wales, Australia', 'https://www.crunchbase.com/organization/hivexchange']",None,"['Private', 'https://www.crunchbase.com/organization/hivexchange']",0.0,0.25,0.0,0.0,0.0625
Love Food Hate Waste NZ,https://lovefoodhatewaste.co.nz/,Not only is wasting food costing us money  it is also bad for the environment. Love Food Hate Waste has tips and recipes to help you reduce your food waste.,lovefoodhatewaste,None,"['eat@yumefood.com.au', 'https://www.crunchbase.com/organization/yume-food-australia']",None,"['food', 'wasted food', 'many foods', 'other foods', 'restaurant food waste', 'free food fridge', 'household food waste', 'food waste audits', 'food waste minimisation', 'more food']","['Katy Barfield', 'founder(s)', 'https://www.crunchbase.com/organization/yume-food-australia']","[['AppsFood and BeverageMarketplaceMobile Apps'], 'https://www.crunchbase.com/organization/yume-food-australia']","['Dec 2014', 'https://www.crunchbase.com/organization/yume-food-australia']",None,None,"[' South Melbourne, Victoria, Australia', 'https://www.crunchbase.com/organization/yume-food-australia']",None,"['Private', 'https://www.crunchbase.com/organization/yume-food-australia']",0.0,0.0,0.0,0.0,0.0
David Jones Online | Shop Fashion_ Beauty_ Home & More,https://www.davidjones.com/,Shop online at David Jones. Shop thousands of products online from your favourite brands across Fashion  Shoes  Beauty  Home  Electrical  Designer & more.,davidjones,"['2 , 572 Swan St Melbourne VIC 3121', 'https://www.davidjones.com/information/privacy-and-security']","['corporate.services@davidjones.com.au', 'https://www.davidjones.com/david-jones-cards/gift-cards']","['None', 'https://www.dnb.com/business-directory/company-profiles.david_jones_pty_limited.2c936636f9c6f20971a0b39eb38d5ad9.html']",None,"['david jones florist product description david jones', 'david jones', 'david jones emails', 'david jones collections', 'david jones rewards', 'other david jones products', 'david jones gift cards', 'david jones elizabeth street', 'david jones limited', 'david jones food']","[['SCOTT IAIN FYFE', 'Director'], 'https://www.dnb.com/business-directory/company-profiles.david_jones_pty_limited.2c936636f9c6f20971a0b39eb38d5ad9.html']","[['BeautyFashionRetail'], 'https://www.crunchbase.com/organization/david-jones']","['May 24, 1838', 'https://www.crunchbase.com/organization/david-jones']","['$1.02 billion USD', 'https://www.dnb.com/business-directory/company-profiles.david_jones_pty_limited.2c936636f9c6f20971a0b39eb38d5ad9.html']",None,"[' Sydney, New South Wales, Australia', 'https://www.crunchbase.com/organization/david-jones']",None,"['Private', 'https://www.crunchbase.com/organization/david-jones']",0.625,0.0,0.0,0.0
Australian Organic Meats,https://www.aomgroup.com.au/,"The Australian Organic Meat Group supplies domestic and world markets with 
organic and sustainably farmed meat. We are farmers and an organic meat 
supply business – producing and supplying exceptionally high quality 
organic meat with the animal  environment and consumer’s health in mind._The Australian Organic Meat Group supplies domestic and world markets with organic and sustainably farmed meat. We are farmers and an organic meat supply business – producing and supplying exceptionally high quality organic meat with the animal  environment and consumer’s health in mind.",aomgroup,"['109 Gipps Street, Dubbo NSW 2830 Australia', 'https://www.aomgroup.com.au/contact']","['info@qoctor.com.au', 'https://www.crunchbase.com/organization/qoctor']","['+61 2 6886 6244', 'https://www.aomgroup.com.au/']","['organic producers', 'quality organic beef', 'certified organic producers', 'quality certified organic meat', 'organic meat products', 'organic farming', 'new zealand organic producers', 'organic meat', 'organic beef', 'leading organic producers']",None,"[['FitnessHealth CareWellness'], 'https://www.crunchbase.com/organization/qoctor']","['Jan 1, 2016', 'https://www.crunchbase.com/organization/qoctor']",None,None,"[' Melbourne, Victoria, Australia', 'https://www.crunchbase.com/organization/qoctor']",None,"['Private', 'https://www.crunchbase.com/organization/qoctor']",0.25,0.25,0.0,0.0,0.125
Flip Flop Wanderers | Couples Travel Blog,https://www.flipflopwanderers.com/,Couples travel blog following the journeys of Bram & Manon  geared towards long-term  slow travelers. Features travel tips  hidden treasures and more!_Couples Travel Blog_Couples travel blog following the journeys of Bram & Manon  geared towards long-term  slow travelers. Features travel tips  hidden treasures and more!,flipflopwanderers,None,"['support@hellostake.com', 'https://www.crunchbase.com/organization/stake-2']","['+6102)82946304', 'https://www.crunchbase.com/organization/stake-2']","['many beautiful beaches', 'many small islands', 'beautiful beaches', 'new zealand procida island', 'many other places', 'beautiful islands', 'new zealand amazing views', 'best beaches step', 'many other people', 'many beaches']","['Dan Silver', 'founder(s)', 'https://www.crunchbase.com/organization/stake-2']","[['Financial ServicesGiftPersonal FinanceTrading Platform'], 'https://www.crunchbase.com/organization/stake-2']","['2017', 'https://www.crunchbase.com/organization/stake-2']",None,None,"[' Sydney, New South Wales, Australia', 'https://www.crunchbase.com/organization/stake-2']",None,"['Private', 'https://www.crunchbase.com/organization/stake-2']",0.0,0.0,0.0,0.0,0.0
IMonitor - Real-Time Monitoring & Data Management Systems,https://imonitor.net/,iMonitor is a Real-Time  Internet of Things (IoT) based Online Temperature Control and Data Management System created for better Food Safety Compliance.,imonitor.net,"['142 Broadway, Newmarket, Auckland 1023 New Zealand', 'https://imonitor.net/category/webinars/']","['support@imonitor.co.nz', 'https://imonitor.net/monitoring-solutions/']","['+64 (9) 274 7014', 'https://imonitor.net/category/webinars/']","['food temperature', 'increased temperatures food businesses', 'food temperature monitoring systems', 'food safety management', 'food safety systems', 'food safety risk', 'food safety processes', 'food safety management systems', 'food service businesses', 'high food safety']","[['Allan WEEKS', ' director'], 'https://opencorporates.com/companies/nz/1874643']","[['ComplianceInformation ServicesWireless'], 'https://www.crunchbase.com/organization/imonitor']","['Jan 1, 2005', 'https://www.crunchbase.com/organization/imonitor']",None,None,"[' Auckland, Auckland, New Zealand', 'https://www.crunchbase.com/organization/imonitor']",None,"['Private', 'https://www.crunchbase.com/organization/imonitor']",0.25,0.25,0.0,0.0,0.125
Eco Guardians | Food Waste Solutions - Organic Waste ...,https://www.ecoguardians.com.au/,Award-winning waste management products that reduce the environmental impact of your business.  Improve your sustainability outcomes by employing re-purposing or recycling technology in your daily business operations. With our help  you can minimise your carbon footprint and maximise your efficiency.,ecoguardians,"['2 /94 Voltri Street, Mentone, Victoria 3194', 'https://www.ecoguardians.com.au/pages/privacy-policy']","['nfo@ecoguardians.com.au', 'https://www.ecoguardians.com.au/pages/privacy-policy']","['1300 556 628', 'https://www.ecoguardians.com.au/']","['organic food waste', 'food waste recycling grease guardians', 'food waste solutions', 'food waste recycling', 'eco guardians food waste management system', 'food waste machines', 'food organic waste volumes', 'global food waste', 'commercial kitchen food waste', 'food waste reduction']","['Salah Sukkarieh', 'founder(s)', 'https://www.crunchbase.com/organization/agerris']","[['AgricultureArtificial IntelligenceFarmingMachine LearningRobotics'], 'https://www.crunchbase.com/organization/agerris']","['Apr 2019', 'https://www.crunchbase.com/organization/agerris']",None,None,"[' Chippendale, New South Wales, Australia', 'https://www.crunchbase.com/organization/agerris']",None,"['Private', 'https://www.crunchbase.com/organization/agerris']",0.25,0.25,0.0,0.0,0.125
ARN - The voice of the Australian IT channel,https://www.arnnet.com.au/,The source for IT industry news  views and analysis across the channel  business and technology,arnnet,"['Level  2 , 67 Epping Rd MACQUARIE PARK, New South Wales 2113', 'https://www.arnnet.com.au/distributor_directory/distributor/2141854453/tech-data-australia']","['james_henderson@idg.com.au', 'https://www.crunchbase.com/organization/arn']","['1300 36 25 25', 'https://www.arnnet.com.au/distributor_directory/distributor/2141854453/tech-data-australia']","['managed services solutions', 'cloud managed services', 'cloud service providers', 'business partners', 'new services', 'customer service', 'business solutions', 'managed security services', 'data centre services', 'public cloud infrastructure services']","[['Karl Sice ', 'Country Business Leader_Australia & NZ'], 'from linkedin search google']","[['News'], 'https://www.crunchbase.com/organization/arn']","['Jan 1, 1995', 'https://www.crunchbase.com/organization/arn']",None,None,"[' Sydney, New South Wales, Australia', 'https://www.crunchbase.com/organization/arn']",None,"['Private', 'https://www.crunchbase.com/organization/arn']",0.25,0.25,0.0,0.0,0.125
Traveller.com.au | Your Destination for Travel Inspiration,https://www.traveller.com.au/,Discover your next holiday with Australia's most experienced travel writers  incorporating Traveller from the Sydney Morning Herald and The Age,traveller,"['1 Denison Street North Sydney NSW 2060', 'https://www.traveller.com.au/contact-us']","['scoop@smh.com.au', 'https://www.crunchbase.com/organization/traveller']","['1300 455 200', 'https://www.traveller.com.au/coral-expeditions-releases-three-indian-ocean-itineraries-for-new-ship-coral-geographer-h1k7r6']","['new cruise ships', 'tour day', 'best tours', 'tour guide', 'cruise ships', 'best foodie tours', 'first cruise ship designs', 'tour guests', 'tour companies', 'board cruise ships']","[['BRUCE RENNICK LAYBOURN', 'Director'], 'https://www.dnb.com/business-directory/company-profiles.corporate_traveller_magazine_limited.bebee494e6f6c0280825719f826e4d88.html']","[['Travel'], 'https://www.crunchbase.com/organization/traveller']","['31 July 2020', 'https://opencorporates.com/companies/au/642775460']","['$1.97 million USD', 'https://www.dnb.com/business-directory/company-profiles.corporate_traveller_magazine_limited.bebee494e6f6c0280825719f826e4d88.html']",None,"[' Sydney, New South Wales, Australia', 'https://www.crunchbase.com/organization/traveller']",None,"['Private', 'https://www.crunchbase.com/organization/traveller']",0.25,0.25,0.0,0.0,0.125
ibuild Solutions,https://ibuildsolutions.com.au/,From complete builds through to minor renovation works  ibuild Perth deliver a high quality  personalised building service to Perth clients.,ibuildsolutions,"['0 ;}    ibuild Solutions, U1B, 25 Delage Street Joondalup WA 6027', 'https://ibuildsolutions.com.au/commercial/']","['info@ibuildnew.com.au', 'https://www.crunchbase.com/organization/ibuildnew']","['+618 9305 4467', 'https://ibuildsolutions.com.au']","['renovation projects', 'home renovations', 'home renovations types', 'renovation experience', 'bathroom renovation', 'restaurant renovations', 'projects', 'home renovations renovation specialists', 'completing projects', 'efficient cost effective project delivery']","[['LEE BRAMLEY', 'Director'], 'https://www.dnb.com/business-directory/company-profiles.ibuild_solutions_pty_ltd.0562b0183ed14b0551c9dc6968d31946.html']","[['Real Estate'], 'https://www.crunchbase.com/organization/ibuildnew']","['2014', 'https://www.crunchbase.com/organization/ibuildnew']","['$639,097 USD', 'https://www.dnb.com/business-directory/company-profiles.ibuild_solutions_pty_ltd.0562b0183ed14b0551c9dc6968d31946.html']",None,"[' Melbourne, Victoria, Australia', 'https://www.crunchbase.com/organization/ibuildnew']",None,"['Private', 'https://www.crunchbase.com/organization/ibuildnew']",0.625,0.25,0.0,0.0,0.21875
