title,link,description,comp_name,address,email,telephone_number,keywords,contact_person,type_or_sector,founded_year,revenue,funding,headquarters,No_of_employees,company_status,address_confidence,tp_confidence,headquarters_confidence,contact_confidence,Total_confidence
Buy Bitcoin Worldwide,https://www.buybitcoinworldwide.com/,Fast and easy way (10 seconds) to find the best Bitcoin exchange in your country.,buybitcoinworldwide,None,"['support@buyabitcoin.com.au', 'https://www.crunchbase.com/organization/buy-a-bitcoin']","['1(300)289-282', 'https://www.crunchbase.com/organization/buy-a-bitcoin']",None,None,"[['BitcoinFinanceTravel'], 'https://www.crunchbase.com/organization/buy-a-bitcoin']","['2014', 'https://www.crunchbase.com/organization/buy-a-bitcoin']",None,None,"[' Melbourne, Victoria, Australia', 'https://www.crunchbase.com/organization/buy-a-bitcoin']",None,"['Private', 'https://www.crunchbase.com/organization/buy-a-bitcoin']",0.0,0.0,0.0,0.0,0.0
Style Factory — Helping You Build an Online Business,https://www.stylefactoryproductions.com/,Style Factory offers expert e-commerce and email marketing reviews  plus essential advice on SEO and how to run your own business.,stylefactoryproductions,None,"['nikki@runningwithfish.com', 'https://www.stylefactoryproductions.com/blog/shopify-vs-squarespace']",None,None,"['Rob Hango-Zada', 'founder(s)', 'https://www.crunchbase.com/organization/shippt']","[['DeliveryE-CommerceLogisticsShippingSoftware'], 'https://www.crunchbase.com/organization/shippt']","['2014', 'https://www.crunchbase.com/organization/shippt']",None,None,"[' Sydney, New South Wales, Australia', 'https://www.crunchbase.com/organization/shippt']",None,"['Private', 'https://www.crunchbase.com/organization/shippt']",0.0,0.0,0.0,0.0,0.0
Mozo - The money saving zone - compare and save,https://mozo.com.au/,Join millions of Australians using Mozo each year. Expert comparisons & reviews. 200+ brands compared - home loans  credit cards  banking insurance more!_The RBA holds interest rates for February. Mozo data is used to show how much the big banks make by delaying and not passing on rate cuts._Research from Mozo has found that 1 in 3 Australians have been comfort spending more than ever in 2020._Comparison website Mozo has found that car insurance premiums have increased by 2.15% during 2020 despite less overall car usage._Sunrise uses Mozo data to showcase how much the ongoing maintenance costs of pets will cost potential owners.,mozo,"['89 York Street, Sydney NSW 2000', 'https://mozo.com.au/']","['belinda.gurd@mozo.com.au', 'https://www.crunchbase.com/organization/mozo']","['+61 406 720 502', 'https://mozo.com.au/marketview']",None,"['Rohan Gamble', 'founder(s)', 'https://www.crunchbase.com/organization/mozo']","[['BankingCredit CardsFinanceFinancial ServicesInternet'], 'https://www.crunchbase.com/organization/mozo']","['2008', 'https://www.crunchbase.com/organization/mozo']","['$5.38 million USD', 'https://www.dnb.com/business-directory/company-profiles.mozo_pty_ltd.2cfe418ce26dde924e1cdfd6565ee63a.html']",None,"[' Sydney, New South Wales, Australia', 'https://www.crunchbase.com/organization/mozo']",None,"['Private', 'https://www.crunchbase.com/organization/mozo']",0.625,0.25,0.0,0.0,0.21875
The bank Australia needs | Bank Australia,https://bankaust.com.au/,BSB: 313 140 - Australians need a real banking alternative - a bank that is responsible and sustainable. ,bankaust,"['5218 Sydney NSW 2001', 'https://www.bankaust.com.au/tools/privacy']","['mail@bankmecu.com.au', 'https://www.crunchbase.com/organization/bankmecu']","['+61 3 9854 4666', 'https://www.bankaust.com.au/support/contact-us']","['bank australia community customers', 'bank australia customers', 'bank australia', 'bank australia insurance customers', 'eligible bank australia customers', 'bank australia accounts', 'real bank australia customers', 'bank australia customer surveys', 'bank australia customer fitted', 'bank australia website']","[['JUDITH SUSAN DOWNES', 'Director'], 'https://www.dnb.com/business-directory/company-profiles.bank_australia_limited.56f43339a84d018d.html']","[['BankingFinanceFinancial Services'], 'https://www.crunchbase.com/organization/bankmecu']","['1957', 'https://www.crunchbase.com/organization/bankmecu']","['$90.63 million USD', 'https://www.dnb.com/business-directory/company-profiles.bank_australia_limited.56f43339a84d018d.html']",None,"[' Kew, Victoria, Australia', 'https://www.crunchbase.com/organization/bankmecu']",None,"['Private', 'https://www.crunchbase.com/organization/bankmecu']",0.25,0.25,0.0,0.0,0.125
POLi Online Debit Payments - New Zealand,https://www.polipay.co.nz/,POLi allows consumers to make an online payment for goods and services or pay a bill online using the security and convenience of Internet Banking. Register today.,polipay,"['11 Westhaven Drive, Auckland 1010', 'https://www.polipay.co.nz/privacy-policy/']","['sales@polipayments.com', 'https://www.crunchbase.com/organization/poli-payments']","['+64 9 280 3260', 'https://www.polipay.co.nz/blog/officetorque-ibill-users-can-now-schedule-future-payments-with-the-help-of-poli/']","['direct bank transfer payment poli payments', 'credit card payments', 'online bank account payments', 'credit card payment options', 'online payment services', 'payment poli', 'card payments', 'online payment gateways', 'credit card payment solutions', 'payment gateway fees']","[['JEFFERY MCALISTER', 'Chief Executive Officer'], 'https://www.dnb.com/business-directory/company-profiles.poli_payments_pty_ltd.a7b5829fddc99ac77e4f52af4644694a.html']","[['E-CommerceInformation TechnologyPayments'], 'https://www.crunchbase.com/organization/poli-payments']","['Jul 1, 2007', 'https://www.crunchbase.com/organization/poli-payments']","['$2.53 million USD', 'https://www.dnb.com/business-directory/company-profiles.poli_payments_pty_ltd.a7b5829fddc99ac77e4f52af4644694a.html']",None,"[' Melbourne, Victoria, Australia', 'https://www.crunchbase.com/organization/poli-payments']",None,"['Private', 'https://www.crunchbase.com/organization/poli-payments']",0.25,0.25,0.0,0.0,0.125
Google Books,https://books.google.com.au/,,books.google,None,None,"['+612 9045 4394', 'https://www.crunchbase.com/organization/booktopia']","['google services', 'using google', 'google books', 'google', 'google play books', 'google digital', 'google account', 'google play', 'google books duration', 'visit google books']","['Anthony Nash', 'founder(s)', 'https://www.crunchbase.com/organization/booktopia']","[['E-CommerceE-Commerce PlatformsEBooksMarketingSales'], 'https://www.crunchbase.com/organization/booktopia']","['Feb 4, 2004', 'https://www.crunchbase.com/organization/booktopia']",None,None,"[' Lidcombe, New South Wales, Australia', 'https://www.crunchbase.com/organization/booktopia']",None,"['Private', 'https://www.crunchbase.com/organization/booktopia']",0.0,0.0,0.0,0.0,0.0
Payments NewsPayments News - Glenbrook Partners,https://pn.glenbrook.com/,A leading payments industry news source for more than 17 years. Glenbrook curates the news to keeps you abreast of the important daily headlines in Payments.,pn.glenbrook,"['SE 9 5 Rosebery Pl Balmain, NEW SOUTH WALES, 2041 Australia', 'https://www.dnb.com/business-directory/company-profiles.zenpay_pty_ltd.2bc437d739df93121481f8bfca2ba3e3.html']","['info@verrency.com', 'https://www.crunchbase.com/organization/verrency']","['None', 'https://www.dnb.com/business-directory/company-profiles.zenpay_pty_ltd.2bc437d739df93121481f8bfca2ba3e3.html']",None,"['card payments', 'leading payments technology company', 'payment services', 'digital payments platform', 'digital payments', 'business payments', 'international card payments', 'instant bank payments', 'payments technology company flutterwave', 'payment solutions provider']","['David Link', 'founder(s)', 'https://www.crunchbase.com/organization/verrency']","[['BankingFinancial ServicesFinTechPayments'], 'https://www.crunchbase.com/organization/verrency']","['Jul 2016', 'https://www.crunchbase.com/organization/verrency']","['$631,044 USD', 'https://www.dnb.com/business-directory/company-profiles.zenpay_pty_ltd.2bc437d739df93121481f8bfca2ba3e3.html']",None,"[' Melbourne, Victoria, Australia', 'https://www.crunchbase.com/organization/verrency']",None,"['Private', 'https://www.crunchbase.com/organization/verrency']",0.0,0.0,0.0,0.0
Windcave | Home | EFTPOS | Payment Gateway | Online ...,https://www.windcave.com/,PCI compliant payment gateway for merchants worldwide accepting credit & debit cards in Retail  Online  Call centre  OPT/UPT & Vending environments.,windcave,"['4693 Address  33 Wilkinson Road Ellerslie Auckland New Zealand', 'https://www.windcave.com/contact']","['careers@windcave.com', 'https://www.windcave.com/contact']","['+64 9 309 4693', 'https://www.windcave.com/contact']","['windcave windcave', 'card transaction', 'credit card transactions', 'windcave handle refund transactions', 'windcave merchant plug', 'windcave test cards', 'credit card payments', 'credit card payment information', 'customer transactions', 'fraudulent online payment transactions']","[['Andrew John CULLEN', 'Director'], 'https://www.dnb.com/business-directory/company-profiles.windcave_limited.1a5d4bea5bb30b521de4582260584f89.html']","[['Mobile PaymentsPayments'], 'https://www.crunchbase.com/organization/windcave']","['Jan 1, 1997', 'https://www.crunchbase.com/organization/windcave']","['11M', 'https://app.avention.com/company/4a5b1c86-0786-33c0-a9f6-86c2333d6918#report/company_summary']",None,"[' Auckland, Auckland, New Zealand', 'https://www.crunchbase.com/organization/windcave']","['70', 'https://app.avention.com/company/4a5b1c86-0786-33c0-a9f6-86c2333d6918#report/company_summary']","['Private', 'https://www.crunchbase.com/organization/windcave']",1.0,0.25,0.0,0.0,0.3125
Power Diary,https://www.powerdiary.com/,The practice management software loved by over 27 000 practitioners. Includes appointments  reminders  online bookings  notes  payments & more.,powerdiary,"['17 Armstrong St South, Ballarat, VIC 3350 AUSTRALIA', 'https://www.powerdiary.com/uk/contact/']",None,"['+61-1300755184', 'https://www.dnb.com/business-directory/company-profiles.power_diary_pty_ltd.216230b68d08fbe47b7d0d99e56cd55e.html']","['power diary client', 'customer service representative power diary power diary', 'power diary accounts', 'power diary keeps', 'custom diary display size power diary', 'power diary users', 'pathology power diary', 'medicare power diary', 'power diary updates', 'power diary integration']","[['DAMIEN JAMES ADLER', 'Director'], 'https://www.dnb.com/business-directory/company-profiles.power_diary_pty_ltd.216230b68d08fbe47b7d0d99e56cd55e.html']","['IT - Software, Healthcare', 'from_classification_model']",None,"['$213,379 USD', 'https://www.dnb.com/business-directory/company-profiles.power_diary_pty_ltd.216230b68d08fbe47b7d0d99e56cd55e.html']",None,None,None,"['Proprietorship Independent', 'https://www.dnb.com/business-directory/company-profiles.power_diary_pty_ltd.216230b68d08fbe47b7d0d99e56cd55e.html']",1.0,0.0,0.75,0.0,0.4375
PayID,https://www.payid.com.au/,Fast payments  simple as Use a PayID for instant  secure payments between bank accounts. It’s easier to remember than a BSB and account number too. Why use PayID? It’s fast PayID payments happen instantly even between accounts at different banks.Some payments may be subject to security checks which could delay a payment. Speak to your...,payid,"['L 9 Se 4 420 George St Sydney, New South Wales, 2000 Australia ', 'https://app.avention.com/company/4973ada5-964c-39b9-811d-59d604cadc4b#report/company_summary']","['support@eftsure.com.au', 'https://www.crunchbase.com/organization/eftsure']","['+61-292164888', 'https://app.avention.com/company/4973ada5-964c-39b9-811d-59d604cadc4b#report/company_summary']","['payid payments', 'bank accounts', 'payid', 'payments', 'fast payments', 'instant payments', 'banks', 'mistaken payments', 'fast payments infrastructure', 'secure payments']","['Ian Mirels', 'founder(s)', 'https://www.crunchbase.com/organization/eftsure']","[['Financial ServicesFinTechPayments'], 'https://www.crunchbase.com/organization/eftsure']","['2014', 'https://www.crunchbase.com/organization/eftsure']","['29M', 'https://app.avention.com/company/4973ada5-964c-39b9-811d-59d604cadc4b#report/company_summary']",None,"[' North Sydney, New South Wales, Australia', 'https://www.crunchbase.com/organization/eftsure']","['12', 'https://app.avention.com/company/4973ada5-964c-39b9-811d-59d604cadc4b#report/company_summary']","['Private', 'https://www.crunchbase.com/organization/eftsure']",0.0,0.0,0.0,0.0,0.0
